id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	13c nmr	-0.2093	0.6521	1	298	465	27	2017.2222
2	1h nmr	-0.0826	0.6443	1	549	1094	68	2016.75
3	21st century	-0.2486	-0.4923	2	236	277	14	2014.4286
4	300c	-0.245	0.5328	1	214	321	23	2014.4783
5	aas	-0.0926	0.6663	1	195	262	17	2016.1765
6	abe fermentation	-0.6485	-0.0821	4	135	183	15	2017.6
7	academia	-0.2139	-0.7054	2	107	125	10	2015.7
8	acceleration	0.8963	-0.0649	3	219	302	21	2016.3333
9	access	-0.2647	-0.5761	2	594	1064	70	2015.9429
10	accessibility	-0.2469	0.4821	1	363	553	36	2017.25
11	accession	-0.6184	-0.2706	2	243	494	48	2013.6875
12	accumulation	-0.5872	0.0398	4	1035	2542	168	2015.8929
13	accumulation mode	0.9409	-0.3738	3	162	227	12	2013.75
14	accurate prediction	0.5699	0.0433	3	98	117	11	2014.3636
15	acetal	0.0419	0.6309	1	233	327	27	2016.4444
16	acetaldehyde	0.6211	-0.1246	3	549	1229	74	2014.3243
17	acetaldehyde emission	0.9822	-0.2775	3	172	265	12	2016.3333
18	acetalization	-0.0196	0.7583	1	155	238	15	2018.5333
19	acetate	-0.3804	0.1606	4	577	917	67	2016.9104
20	acetic acid	-0.2729	0.3732	1	735	1297	91	2016.5165
21	acetylene	0.7237	0.2203	3	221	302	20	2016.05
22	acid catalyst	-0.2093	0.7428	1	674	1545	103	2015.8058
23	acid concentration	-0.3278	0.335	1	393	619	48	2016.0417
24	acid esterification	0.1278	0.6688	1	255	425	25	2015.04
25	acid hydrolysis	-0.4179	0.2385	4	239	336	23	2015.6957
26	acid oil	-0.2509	0.648	1	211	313	22	2015.7273
27	acid pretreatment	-0.531	0.1884	4	297	404	28	2016.1071
28	acid site	-0.1337	0.8908	1	367	730	39	2017.2308
29	acid treatment	-0.3693	0.608	1	172	214	13	2016.3077
30	acid value	-0.03	0.4591	1	1113	3546	254	2015.4685
31	acidic	-0.2298	0.6777	1	447	647	39	2016.9744
32	acidic ionic liquid	-0.2091	0.8198	1	167	264	17	2015.5294
33	acidification	-0.5381	-0.5839	2	586	1334	77	2015.1818
34	acidification potential	-0.4778	-0.8016	2	209	340	16	2013.625
35	acidity	-0.1082	0.7298	1	1120	3760	241	2017.3071
36	acp	-0.8312	0.3192	4	191	330	20	2015.15
37	acre	-0.4923	-0.5125	2	254	324	20	2014.65
38	activated carbon	-0.169	0.6476	1	519	958	61	2017.2951
39	activated sludge	-0.7391	0.3139	4	163	216	17	2015.9412
40	activation	-0.0248	0.4884	1	623	1094	68	2017.3676
41	activation energy	0.0778	0.6371	1	933	2650	167	2017.3234
42	active catalyst	-0.2031	0.8159	1	243	354	20	2015.3
43	active component	-0.1	0.6259	1	175	229	17	2016.5882
44	active phase	-0.1029	0.8932	1	261	429	20	2017.75
45	active site	-0.1351	0.8506	1	589	1257	72	2017.6111
46	active species	0.003	0.9366	1	137	188	14	2016.7857
47	actor	-0.4528	-0.8444	2	326	729	58	2015.3793
48	acyl acceptor	-0.2801	0.682	1	174	297	20	2014.55
49	adaptive neuro fuzzy inference system	0.2829	-0.0713	3	109	151	12	2019.6667
50	adiabatic flame temperature	1.0359	-0.024	3	139	177	12	2015.8333
51	adoption	-0.1035	-0.5844	2	789	1480	106	2015.2075
52	adsorbent	-0.1516	0.5374	1	262	354	35	2017.2
53	adsorption	-0.1144	0.5744	1	806	1676	122	2016.8197
54	adulteration	0.3491	0.0194	1	87	133	15	2014
55	advanced biofuel production	-0.5752	-0.3737	2	215	259	15	2014.1333
56	advanced fuel	-0.4231	-0.3853	2	142	156	11	2016.8182
57	advanced injection timing	1.508	-0.1237	3	143	235	10	2015.2
58	adverse health effect	0.4322	-0.4287	3	182	302	22	2013.4545
59	aeration	-0.9498	0.0905	4	171	247	16	2016.9375
60	aerobic condition	-0.7712	0.2391	4	112	152	10	2014.4
61	aerodynamic diameter	0.5025	-0.4801	3	180	275	19	2011.8421
62	aerosol	0.1751	-0.4291	2	327	746	62	2013.0161
63	africa	-0.309	-0.6432	2	448	806	56	2013.6429
64	aftertreatment	0.6941	-0.4636	3	252	408	22	2014.5455
65	aftertreatment system	0.7607	-0.3972	3	270	423	24	2016.4167
66	agglomeration	0.0724	0.5774	1	217	303	19	2017.3158
67	agitation	-0.0603	0.5039	1	246	354	20	2014.9
68	agitation speed	-0.1671	0.6845	1	247	356	20	2017.7
69	agricultural commodity	-0.3757	-0.813	2	111	140	13	2014.6154
70	agricultural land	-0.5591	-0.6918	2	493	886	54	2012.2778
71	agricultural machinery	0.2547	-0.5857	2	179	233	14	2015.6429
72	agricultural practice	-0.5232	-0.8018	2	234	340	21	2015.1429
73	agricultural production	-0.4991	-0.7648	2	327	519	36	2014.0278
74	agricultural residue	-0.4487	-0.4287	2	457	707	56	2015.7321
75	agricultural sector	-0.295	-0.867	2	323	537	37	2013.1351
76	agricultural tractor	0.3207	-0.5137	3	89	127	13	2013.3846
77	agriculture	-0.3785	-0.5925	2	1011	2453	173	2013.9191
78	ahp	-0.4847	-0.6749	2	134	166	13	2018.0769
79	air fuel mixture	1.1224	-0.3147	3	212	313	17	2017.2353
80	air fuel ratio	1.0889	-0.3338	3	272	476	27	2016.2593
81	air pollutant	0.0583	-0.5745	2	451	689	50	2015.88
82	air quality	0.2602	-0.5269	2	625	1209	83	2015.2048
83	air temperature	0.8081	-0.2421	3	281	433	30	2016.8667
84	al mcm	-0.1622	0.9468	1	135	188	10	2018.6
85	al2o3	-0.0084	0.7438	1	791	2041	127	2016.8583
86	al2o3 catalyst	-0.1021	0.7361	1	477	1087	70	2017.2857
87	alcohol blend	1.1921	-0.1361	3	294	507	28	2017.6429
